Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
21/11/2024,FromUK,STN,SOF,FR 1730,08:05,13:00,2h 55m,London Stansted,Sofia,£95.82,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-21&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-21&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
21/11/2024,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£55.85,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-21&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-21&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,£45.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£25.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 9961,16:50,21:45,2h 55m,London Stansted,Sofia,£19.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
22/11/2024,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£25.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-22&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-22&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£19.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£47.05,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
23/11/2024,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£35.89,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-23&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-23&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 1730,06:50,11:45,2h 55m,London Stansted,Sofia,£27.64,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 9967,15:35,20:30,2h 55m,London Stansted,Sofia,£103.92,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
24/11/2024,FromUK,STN,SOF,FR 9976,17:10,22:05,2h 55m,London Stansted,Sofia,£46.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-24&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-24&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
25/11/2024,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£19.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
25/11/2024,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£32.47,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£30.89,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,2h 55m,London Stansted,Sofia,£51.79,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
27/11/2024,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£47.57,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-27&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-27&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
