Date,Status,Start Location,End Location,Flight Number,Departure Time,Arrival Time,Flight Duration,Departure Location,Arrival Location,Price,Website,URL
25/11/2024,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£46.04,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-25&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-25&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 1730,08:15,13:10,2h 55m,London Stansted,Sofia,£45.00,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
26/11/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,2h 55m,London Stansted,Sofia,£72.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-26&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-26&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
27/11/2024,FromUK,STN,SOF,FR 1730,06:30,11:25,2h 55m,London Stansted,Sofia,£50.08,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-27&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-27&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
28/11/2024,FromUK,STN,SOF,FR 1730,08:05,13:00,2h 55m,London Stansted,Sofia,£60.49,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-28&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-28&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
28/11/2024,FromUK,STN,SOF,FR 2690,17:10,22:05,2h 55m,London Stansted,Sofia,£72.57,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-28&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-28&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
29/11/2024,FromUK,STN,SOF,FR 1730,09:15,14:10,2h 55m,London Stansted,Sofia,,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-29&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-29&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
29/11/2024,FromUK,STN,SOF,FR 2690,15:15,20:10,2h 55m,London Stansted,Sofia,£42.33,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-29&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-29&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
29/11/2024,FromUK,STN,SOF,FR 9961,16:50,21:45,2h 55m,London Stansted,Sofia,£42.33,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-29&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-29&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
29/11/2024,FromUK,STN,SOF,FR 9967,18:55,23:50,2h 55m,London Stansted,Sofia,£41.44,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-29&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-29&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
30/11/2024,FromUK,STN,SOF,FR 1730,06:10,11:05,2h 55m,London Stansted,Sofia,£42.54,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-30&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-30&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
30/11/2024,FromUK,STN,SOF,FR 2690,09:55,14:50,2h 55m,London Stansted,Sofia,£35.89,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-30&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-30&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
30/11/2024,FromUK,STN,SOF,FR 9961,20:05,01:00,2h 55m,London Stansted,Sofia,£57.43,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-11-30&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-11-30&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
01/12/2024,FromUK,STN,SOF,FR 1730,06:50,11:45,2h 55m,London Stansted,Sofia,£55.27,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-01&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-01&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
01/12/2024,FromUK,STN,SOF,FR 2690,14:05,19:00,2h 55m,London Stansted,Sofia,£95.99,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-01&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-01&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
01/12/2024,FromUK,STN,SOF,FR 9967,15:35,20:30,2h 55m,London Stansted,Sofia,£61.29,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-01&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-01&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
01/12/2024,FromUK,STN,SOF,FR 9976,17:10,22:05,2h 55m,London Stansted,Sofia,£79.54,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-01&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-01&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
02/12/2024,FromUK,STN,SOF,FR 1730,06:55,11:50,2h 55m,London Stansted,Sofia,£34.72,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-02&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-02&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
02/12/2024,FromUK,STN,SOF,FR 2690,08:55,13:50,2h 55m,London Stansted,Sofia,£32.76,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-02&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-02&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
02/12/2024,FromUK,STN,SOF,FR 9961,15:55,20:50,2h 55m,London Stansted,Sofia,£60.88,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-02&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-02&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
03/12/2024,FromUK,STN,SOF,FR 1730,08:15,13:10,,London Stansted,Sofia,£33.72,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-03&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-03&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
03/12/2024,FromUK,STN,SOF,FR 2690,13:45,18:40,,London Stansted,Sofia,£61.51,Ryanair,https://www.ryanair.com/gb/en/trip/flights/select?adults=1&teens=0&children=0&infants=0&dateOut=2024-12-03&dateIn=&isConnectedFlight=false&discount=0&isReturn=false&promoCode=&originIata=STN&destinationIata=SOF&tpAdults=1&tpTeens=0&tpChildren=0&tpInfants=0&tpStartDate=2024-12-03&tpEndDate=&tpDiscount=0&tpPromoCode=&tpOriginIata=STN&tpDestinationIata=SOF
